,Hora (UTC),Radiacao (KJ/mï¿½)
0,23,0.0
1,22,0.0
2,21,0.0
3,20,0.0
4,19,0.0
5,18,0.0
6,17,0.0
7,16,0.0
8,15,0.0
9,14,14.8
10,13,462.7
11,12,1171.9
12,11,1761.1
13,10,2201.3
14,9,2572.2
15,8,2735.0
16,7,2667.7
17,6,2355.4
18,5,0.0
19,4,0.0
20,3,0.0
21,2,0.0
22,1,0.0
23,0,0.0
24,23,0.0
25,22,0.0
26,21,0.0
27,20,0.0
28,19,0.0
29,18,0.0
30,17,0.0
31,16,0.0
32,15,0.0
33,14,18.8
34,13,422.4
35,12,1117.4
36,11,1677.7
37,10,2119.6
38,9,2399.3
39,8,2737.6
40,7,2652.9
41,6,2338.7
42,5,0.0
43,4,0.0
44,3,0.0
45,2,0.0
46,1,0.0
47,0,0.0
48,23,0.0
49,22,0.0
50,21,0.0
51,20,0.0
52,19,0.0
53,18,0.0
54,17,0.0
55,16,0.0
56,15,0.0
57,14,15.1
58,13,437.0
59,12,1144.9
60,11,1750.6
61,10,2193.3
62,9,2572.8
63,8,2739.2
64,7,2642.9
65,6,2323.5
66,5,0.0
67,4,0.0
68,3,0.0
69,2,0.0
70,1,0.0
71,0,0.0
72,23,0.0
73,22,0.0
74,21,0.0
75,20,0.0
76,19,0.0
77,18,0.0
78,17,0.0
79,16,0.0
80,15,0.0
81,14,16.4
82,13,463.9
83,12,1163.7
84,11,1758.2
85,10,2236.8
86,9,2558.3
87,8,2732.4
88,7,2658.4
89,6,2324.3
90,5,0.0
91,4,0.0
92,3,0.0
93,2,0.0
94,1,0.0
95,0,0.0
96,23,0.0
97,22,0.0
98,21,0.0
99,20,0.0
100,19,0.0
101,18,0.0
102,17,0.0
103,16,0.0
104,15,0.0
105,14,17.4
106,13,492.8
107,12,1194.9
108,11,1790.1
109,10,2256.2
110,9,2592.9
111,8,2761.7
112,7,2664.5
113,6,2331.8
114,5,0.0
115,4,0.0
116,3,0.0
117,2,0.0
118,1,0.0
119,0,0.0
120,23,0.0
121,22,0.0
122,21,0.0
123,20,0.0
124,19,0.0
125,18,0.0
126,17,0.0
127,16,0.0
128,15,0.0
129,14,16.6
130,13,496.2
131,12,1202.6
132,11,1804.2
133,10,2133.7
134,9,2555.4
135,8,2549.3
136,7,2634.1
137,6,2340.9
138,5,0.0
139,4,0.0
140,3,0.0
141,2,0.0
142,1,0.0
143,0,0.0
144,23,0.0
145,22,0.0
146,21,0.0
147,20,0.0
148,19,0.0
149,18,0.0
150,17,0.0
151,16,0.0
152,15,0.0
153,14,17.5
154,13,501.1
155,12,1208.7
156,11,1803.8
157,10,2189.4
158,9,2594.5
159,8,2505.2
160,7,2675.5
161,6,2348.4
162,5,0.0
163,4,0.0
164,3,0.0
165,2,0.0
166,1,0.0
167,0,0.0
168,23,0.0
169,22,0.0
170,21,0.0
171,20,0.0
172,19,0.0
173,18,0.0
174,17,0.0
175,16,0.0
176,15,0.0
177,14,17.4
178,13,227.7
179,12,502.9
180,11,835.7
181,10,1294.9
182,9,2144.2
183,8,2804.1
184,7,2669.1
185,6,2337.4
186,5,0.0
187,4,0.0
188,3,0.0
189,2,0.0
190,1,0.0
191,0,0.0
192,23,0.0
193,22,0.0
194,21,0.0
195,20,0.0
196,19,0.0
197,18,0.0
198,17,0.0
199,16,0.0
200,15,0.0
201,14,22.3
202,13,430.8
203,12,765.6
204,11,1904.4
205,10,2052.7
206,9,2427.2
207,8,2620.5
208,7,2504.1
209,6,2097.1
210,5,0.0
211,4,0.0
212,3,0.0
213,2,0.0
214,1,0.0
215,0,0.0
216,23,0.0
217,22,0.0
218,21,0.0
219,20,0.0
220,19,0.0
221,18,0.0
222,17,0.0
223,16,0.0
224,15,0.0
225,14,19.3
226,13,517.0
227,12,1224.7
228,11,1811.2
229,10,2309.1
230,9,2601.6
231,8,2714.2
232,7,2663.4
233,6,2336.6
234,5,0.0
235,4,0.0
236,3,0.0
237,2,0.0
238,1,0.0
239,0,0.0
240,23,0.0
241,22,0.0
242,21,0.0
243,20,0.0
244,19,0.0
245,18,0.0
246,17,0.0
247,16,0.0
248,15,0.0
249,14,23.1
250,13,504.0
251,12,1206.3
252,11,1228.9
253,10,1395.3
254,9,1363.5
255,8,1155.4
256,7,2186.9
257,6,2341.2
258,5,0.0
259,4,0.0
260,3,0.0
261,2,0.0
262,1,0.0
263,0,0.0
264,23,0.0
265,22,0.0
266,21,0.0
267,20,0.0
268,19,0.0
269,18,0.0
270,17,0.0
271,16,0.0
272,15,0.0
273,14,23.4
274,13,535.2
275,12,1230.4
276,11,1831.1
277,10,2287.9
278,9,2671.5
279,8,2748.7
280,7,2684.2
281,6,2348.1
282,5,0.0
283,4,0.0
284,3,0.0
285,2,0.0
286,1,0.0
287,0,0.0
288,23,0.0
289,22,0.0
290,21,0.0
291,20,0.0
292,19,0.0
293,18,0.0
294,17,0.0
295,16,0.0
296,15,0.0
297,14,26.1
298,13,528.7
299,12,1246.6
300,11,1861.2
301,10,2354.7
302,9,2687.0
303,8,2819.0
304,7,2694.9
305,6,2364.0
306,5,0.0
307,4,0.0
308,3,0.0
309,2,0.0
310,1,0.0
311,0,0.0
312,23,0.0
313,22,0.0
314,21,0.0
315,20,0.0
316,19,0.0
317,18,0.0
318,17,0.0
319,16,0.0
320,15,0.0
321,14,20.5
322,13,379.8
323,12,1231.3
324,11,1799.9
325,10,2157.4
326,9,2615.4
327,8,2773.8
328,7,2633.3
329,6,2376.8
330,5,0.0
331,4,0.0
332,3,0.0
333,2,0.0
334,1,0.0
335,0,0.0
336,23,0.0
337,22,0.0
338,21,0.0
339,20,0.0
340,19,0.0
341,18,0.0
342,17,0.0
343,16,0.0
344,15,0.0
345,14,26.6
346,13,487.7
347,12,1215.6
348,11,1761.9
349,10,2473.5
350,9,2428.8
351,8,2742.6
352,7,2670.6
353,6,2336.1
354,5,0.0
355,4,0.0
356,3,0.0
357,2,0.0
358,1,0.0
359,0,0.0
360,23,0.0
361,22,0.0
362,21,0.0
363,20,0.0
364,19,0.0
365,18,0.0
366,17,0.0
367,16,0.0
368,15,0.0
369,14,28.3
370,13,321.2
371,12,621.2
372,11,790.0
373,10,1027.9
374,9,1658.7
375,8,1709.7
376,7,1197.3
377,6,2163.4
378,5,0.0
379,4,0.0
380,3,0.0
381,2,0.0
382,1,0.0
383,0,0.0
384,23,0.0
385,22,0.0
386,21,0.0
387,20,0.0
388,19,0.0
389,18,0.0
390,17,0.0
391,16,0.0
392,15,0.0
393,14,16.6
394,13,235.3
395,12,1268.3
396,11,1524.8
397,10,2304.7
398,9,2234.5
399,8,2777.3
400,7,2768.9
401,6,2389.9
402,5,0.0
403,4,0.0
404,3,0.0
405,2,0.0
406,1,0.0
407,0,0.0
408,23,0.0
409,22,0.0
410,21,0.0
411,20,0.0
412,19,0.0
413,18,0.0
414,17,0.0
415,16,0.0
416,15,0.0
417,14,46.8
418,13,399.9
419,12,1137.5
420,11,1550.3
421,10,2162.1
422,9,2667.8
423,8,2849.3
424,7,2231.2
425,6,2232.1
426,5,0.0
427,4,0.0
428,3,0.0
429,2,0.0
430,1,0.0
431,0,0.0
432,23,0.0
433,22,0.0
434,21,0.0
435,20,0.0
436,19,0.0
437,18,0.0
438,17,0.0
439,16,0.0
440,15,0.0
441,14,21.6
442,13,153.7
443,12,679.7
444,11,1178.7
445,10,2031.4
446,9,2876.5
447,8,2839.4
448,7,2778.8
449,6,2373.7
450,5,0.0
451,4,0.0
452,3,0.0
453,2,0.0
454,1,0.0
455,0,0.0
456,23,0.0
457,22,0.0
458,21,0.0
459,20,0.0
460,19,0.0
461,18,0.0
462,17,0.0
463,16,0.0
464,15,0.0
465,14,41.1
466,13,594.9
467,12,857.3
468,11,1450.4
469,10,2095.8
470,9,1614.5
471,8,1518.1
472,7,2087.1
473,6,2391.8
474,5,0.0
475,4,0.0
476,3,0.0
477,2,0.0
478,1,0.0
479,0,0.0
480,23,0.0
481,22,0.0
482,21,0.0
483,20,0.0
484,19,0.0
485,18,0.0
486,17,0.0
487,16,0.0
488,15,0.0
489,14,35.9
490,13,432.7
491,12,747.5
492,11,912.1
493,10,579.7
494,9,1789.5
495,8,2887.8
496,7,2461.1
497,6,2324.6
498,5,0.0
499,4,0.0
500,3,0.0
501,2,0.0
502,1,0.0
503,0,0.0
504,23,0.0
505,22,0.0
506,21,0.0
507,20,0.0
508,19,0.0
509,18,0.0
510,17,0.0
511,16,0.0
512,15,0.0
513,14,18.9
514,13,505.6
515,12,1162.8
516,11,1439.8
517,10,2037.3
518,9,2250.6
519,8,2929.6
520,7,2787.2
521,6,2278.1
522,5,0.0
523,4,0.0
524,3,0.0
525,2,0.0
526,1,0.0
527,0,0.0
528,23,0.0
529,22,0.0
530,21,0.0
531,20,0.0
532,19,0.0
533,18,0.0
534,17,0.0
535,16,0.0
536,15,0.0
537,14,34.1
538,13,311.8
539,12,645.4
540,11,1405.9
541,10,1120.2
542,9,1842.8
543,8,2264.8
544,7,2669.1
545,6,2400.5
546,5,0.0
547,4,0.0
548,3,0.0
549,2,0.0
550,1,0.0
551,0,0.0
552,23,0.0
553,22,0.0
554,21,0.0
555,20,0.0
556,19,0.0
557,18,0.0
558,17,0.0
559,16,0.0
560,15,0.0
561,14,38.0
562,13,280.4
563,12,907.1
564,11,1243.4
565,10,2097.0
566,9,2762.0
567,8,2963.5
568,7,2756.1
569,6,2405.7
570,5,0.0
571,4,0.0
572,3,0.0
573,2,0.0
574,1,0.0
575,0,0.0
576,23,0.0
577,22,0.0
578,21,0.0
579,20,0.0
580,19,0.0
581,18,0.0
582,17,0.0
583,16,0.0
584,15,0.0
585,14,30.8
586,13,0.0
587,12,1294.2
588,11,1535.3
589,10,2091.4
590,9,2637.6
591,8,2836.0
592,7,2765.2
593,6,2395.1
594,5,0.0
595,4,0.0
596,3,0.0
597,2,0.0
598,1,0.0
599,0,0.0
600,23,0.0
601,22,0.0
602,21,0.0
603,20,0.0
604,19,0.0
605,18,0.0
606,17,0.0
607,16,0.0
608,15,0.0
609,14,38.1
610,13,235.7
611,12,879.4
612,11,1263.2
613,10,1938.9
614,9,2162.5
615,8,2281.5
616,7,2417.6
617,6,2193.1
618,5,0.0
619,4,0.0
620,3,0.0
621,2,0.0
622,1,0.0
623,0,0.0
624,23,0.0
625,22,0.0
626,21,0.0
627,20,0.0
628,19,0.0
629,18,0.0
630,17,0.0
631,16,0.0
632,15,0.0
633,14,47.5
634,13,382.4
635,12,1109.1
636,11,1757.3
637,10,2246.1
638,9,2661.8
639,8,2921.6
640,7,2732.1
641,6,2394.2
642,5,0.0
643,4,0.0
644,3,0.0
645,2,0.0
646,1,0.0
647,0,0.0
648,23,0.0
649,22,0.0
650,21,0.0
651,20,0.0
652,19,0.0
653,18,0.0
654,17,0.0
655,16,0.0
656,15,0.0
657,14,44.6
658,13,393.3
659,12,890.0
660,11,1329.9
661,10,2210.2
662,9,2402.1
663,8,2760.0
664,7,2675.4
665,6,2353.9
666,5,0.0
667,4,0.0
668,3,0.0
669,2,0.0
670,1,0.0
671,0,0.0
672,23,0.0
673,22,0.0
674,21,0.0
675,20,0.0
676,19,0.0
677,18,0.0
678,17,0.0
679,16,0.0
680,15,0.0
681,14,21.0
682,13,489.6
683,12,1219.3
684,11,1292.2
685,10,2467.1
686,9,2362.8
687,8,2575.6
688,7,2226.1
689,6,2008.8
690,5,0.0
691,4,0.0
692,3,0.0
693,2,0.0
694,1,0.0
695,0,0.0
696,23,0.0
697,22,0.0
698,21,0.0
699,20,0.0
700,19,0.0
701,18,0.0
702,17,0.0
703,16,0.0
704,15,0.0
705,14,61.1
706,13,468.9
707,12,1119.2
708,11,797.1
709,10,1279.0
710,9,2185.9
711,8,2837.2
712,7,2719.4
713,6,2352.2
714,5,0.0
715,4,0.0
716,3,0.0
717,2,0.0
718,1,0.0
719,0,0.0
720,23,0.0
721,22,0.0
722,21,0.0
723,20,0.0
724,19,0.0
725,18,0.0
726,17,0.0
727,16,0.0
728,15,0.0
729,14,56.7
730,13,418.0
731,12,1184.3
732,11,1577.0
733,10,1821.6
734,9,2404.4
735,8,2397.3
736,7,2789.5
737,6,2399.1
738,5,0.0
739,4,0.0
740,3,0.0
741,2,0.0
742,1,0.0
743,0,0.0
744,23,0.0
745,22,0.0
746,21,0.0
747,20,0.0
748,19,0.0
749,18,0.0
750,17,0.0
751,16,0.0
752,15,0.0
753,14,35.1
